Nom_vernaculaire,Nom_scientifique,Annee_de_derniere_observation,Remarque
Point-de-Hongrie,Erynnis tages,2015,
Grisette,Carcharodus alceae,2015,
Hespérie du dactyle,Thymelicus lineola,2014,
Sylvaine,Ochlodes sylvanus,2017,
Machaon,Papilio machaon,2017,
Piéride du chou,Pieris brassicae,2017,
Piéride de la rave,Pieris rapae,2017,
Piéride du navet,Pieris napi,2017,
Aurore,Anthocharis cardamines,2014,
Souci,Colias crocea,2017,
Citron,Gonepteryx rhamni,2017,
Cuivré commun,Lycaena phlaeas,2017,
Cuivré fuligineux,Lycaena tityrus,2010,
Azuré des nerpruns,Celastrina argiolus,2017,
Azuré du trèfle,Cupido argiades,2010,
Azuré de la bugrane,Polyommatus icarus,2015,
Petit sylvain,Limenitis camilla,2008,
Grand mars changeant,Apatura iris,2017,
Petit mars changeant,Apatura ilia,2015,
Petite tortue,Aglais urticae,2014,
Paon du jour,Aglais io,2017,
Vulcain,Vanessa atalanta,2017,
Belle-Dame,Vanessa cardui,2017,
Robert-le-Diable,Polygonia c-album,2017,
Carte géographique,Araschnia levana,2017,
Tircis,Pararge aegeria,2017,
Mégère,Lasiommata megera,2011,
Fadet commun,Coenonympha pamphilus,2017,
Amaryllis,Pyronia tithonus,2017,
Myrtil,Maniola jurtina,2017,
Demi-deuil,Melanargia galathea,2017,
